open,high,low,close,volume,average
25.6,25.61,25.22,25.55,34758,25.495
25.64,25.74,25.33,25.5,22247,25.5525
25.5,25.7,25.225,25.34,30891,25.44125
25.32,25.6425,25.145,25.48,33334,25.396875
25.5,25.57,25.23,25.54,70176,25.46
25.67,26.05,25.63,25.83,39694,25.795
25.45,25.74,25.31,25.68,51064,25.545
25.51,26.33,25.48,25.85,66422,25.7925
25.97,25.97,24.96,25.22,64614,25.53
25.47,25.54,25,25.29,46369,25.325
25.37,25.92,25.1475,25.86,32556,25.574375
26.31,27.19,26.16,27.15,36764,26.7025
27.08,27.88,26.94,27.86,42987,27.44
27.88,28.16,27.75,28.05,43907,27.96
27.86,28.18,27.64,28.1,35156,27.945
28.01,28.38,27.65,28.32,33180,28.09
28.33,28.77,28.33,28.63,32339,28.515
28.59,28.82,28.175,28.49,39189,28.51875
28.69,28.73,27.82,28.37,44366,28.4025
28.73,29.38,28.62,28.81,56186,28.885
28.96,28.96,28.39,28.53,47308,28.71
28.59,28.83,28.15,28.27,44547,28.46
28.38,28.45,27.58,27.83,29750,28.06
27.77,27.84,27.48,27.58,36891,27.6675
27.69,28.23,27.49,27.89,21000,27.825
27.8,28.13,27.705,27.9,31254,27.88375
28.06,28.07,27.51,27.83,45318,27.8675
26.63,27.32,26.31,26.61,54585,26.7175
26.41,26.47,25.95,26.31,35743,26.285
26.29,26.98,26.21,26.82,31912,26.575
