open,high,low,close,volume,next_open,volume_delta,next_close
25.6,25.61,25.22,25.55,34758,25.64,0,25.5
25.64,25.74,25.33,25.5,22247,25.5,-12511,25.34
25.5,25.7,25.225,25.34,30891,25.32,8644,25.48
25.32,25.6425,25.145,25.48,33334,25.5,2443,25.54
25.5,25.57,25.23,25.54,70176,25.67,36842,25.83
25.67,26.05,25.63,25.83,39694,25.45,-30482,25.68
25.45,25.74,25.31,25.68,51064,25.51,11370,25.85
25.51,26.33,25.48,25.85,66422,25.97,15358,25.22
25.97,25.97,24.96,25.22,64614,25.47,-1808,25.29
25.47,25.54,25,25.29,46369,25.37,-18245,25.86
25.37,25.92,25.1475,25.86,32556,26.31,-13813,27.15
26.31,27.19,26.16,27.15,36764,27.08,4208,27.86
27.08,27.88,26.94,27.86,42987,27.88,6223,28.05
27.88,28.16,27.75,28.05,43907,27.86,920,28.1
27.86,28.18,27.64,28.1,35156,28.01,-8751,28.32
28.01,28.38,27.65,28.32,33180,28.33,-1976,28.63
28.33,28.77,28.33,28.63,32339,28.59,-841,28.49
28.59,28.82,28.175,28.49,39189,28.69,6850,28.37
28.69,28.73,27.82,28.37,44366,28.73,5177,28.81
28.73,29.38,28.62,28.81,56186,28.96,11820,28.53
28.96,28.96,28.39,28.53,47308,28.59,-8878,28.27
28.59,28.83,28.15,28.27,44547,28.38,-2761,27.83
28.38,28.45,27.58,27.83,29750,27.77,-14797,27.58
27.77,27.84,27.48,27.58,36891,27.69,7141,27.89
27.69,28.23,27.49,27.89,21000,27.8,-15891,27.9
27.8,28.13,27.705,27.9,31254,28.06,10254,27.83
28.06,28.07,27.51,27.83,45318,26.63,14064,26.61
26.63,27.32,26.31,26.61,54585,26.41,9267,26.31
26.41,26.47,25.95,26.31,35743,26.29,-18842,26.82
